Epoch 0: {"Accuracy": 0.7170581073910509, "FP": 0.7753414809489576, "FN": 0.7381679846633131}
Epoch 1: {"Accuracy": 0.8301533454862896, "FP": 0.5041337167505392, "FN": 0.4210999281092736}
Epoch 2: {"Accuracy": 0.8859355208654281, "FP": 0.3521746944644141, "FN": 0.23924634555475666}
Epoch 3: {"Accuracy": 0.9149009576871697, "FP": 0.26401869158878505, "FN": 0.13135034747184288}
Epoch 4: {"Accuracy": 0.905337993392901, "FP": 0.29376347951114307, "FN": 0.1664569853822187}
Epoch 5: {"Accuracy": 0.9056081185169953, "FP": 0.30499640546369516, "FN": 0.17640186915887804}
Epoch 6: {"Accuracy": 0.9307233362431921, "FP": 0.23103882099209203, "FN": 0.08884495566738575}
Epoch 7: {"Accuracy": 0.9248864939577537, "FP": 0.24496764917325664, "FN": 0.10499041456985408}
Epoch 8: {"Accuracy": 0.9290608632022151, "FP": 0.23759884974838247, "FN": 0.0966630721303621}
Epoch 9: {"Accuracy": 0.9344483884495547, "FP": 0.2262760603882099, "FN": 0.08240474478792253}
Epoch 10: {"Accuracy": 0.9320793108760357, "FP": 0.2308590941768512, "FN": 0.08779654924514763}
Epoch 11: {"Accuracy": 0.9333176072369982, "FP": 0.22852264557872035, "FN": 0.08572969086987806}
Epoch 12: {"Accuracy": 0.9398867293142964, "FP": 0.21702012940330698, "FN": 0.07135154565061114}
Epoch 13: {"Accuracy": 0.931604318578612, "FP": 0.23283608914450035, "FN": 0.09148094895758462}
Epoch 14: {"Accuracy": 0.9375732814693053, "FP": 0.21369518332135154, "FN": 0.06691828420800384}
Epoch 15: {"Accuracy": 0.9382884444216187, "FP": 0.21845794392523366, "FN": 0.07281931464174457}
Epoch 16: {"Accuracy": 0.9382563503474649, "FP": 0.22546728971962618, "FN": 0.08126647495806391}
Epoch 17: {"Accuracy": 0.9435636404094315, "FP": 0.20794392523364486, "FN": 0.05978912053678403}
Epoch 18: {"Accuracy": 0.9412410992434301, "FP": 0.21908698777857658, "FN": 0.07380781212556921}
Epoch 19: {"Accuracy": 0.9443900628187943, "FP": 0.2070452911574407, "FN": 0.05939971243709551}
Epoch 20: {"Accuracy": 0.9447206317825408, "FP": 0.21252695902228613, "FN": 0.06607955907021328}
Epoch 21: {"Accuracy": 0.9453758857964396, "FP": 0.2080337886412653, "FN": 0.06098729930505622}
Epoch 22: {"Accuracy": 0.939248592139942, "FP": 0.22142343637670742, "FN": 0.07779175653007445}
Epoch 23: {"Accuracy": 0.94574122334052, "FP": 0.20668583752695902, "FN": 0.058680805176132216}
Epoch 24: {"Accuracy": 0.9459632073533896, "FP": 0.20749460819554277, "FN": 0.06023843757488612}
Epoch 25: {"Accuracy": 0.9419771233439428, "FP": 0.21477354421279654, "FN": 0.06826623532231003}
